,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,装修描述,税费解析,周边配套,售房详情,交通出行,适宜人群,权属抵押,用水类型,用电类型
892,['绿景馨园 2室0厅 南'],637,121984,"['东城', '广渠门']",2室0厅1厨1卫,底层 (共6层),52.22㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,自供暖,无,2023-11-04,二类经济适用房,2005-03-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,
893,['鼓楼东大街 2室1厅 东 南'],680,122325,"['东城', '地安门']",2室1厅1厨1卫,高楼层 (共6层),55.59㎡,平层,暂无数据,板楼,东 南,砖混结构,其他,暂无数据,集中供暖,无,2023-11-03,已购公房,2000-10-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,
894,['东城区 赵堂子胡同 南北通透 精装修两居室'],650,112516,"['东城', '建国门内']",2室1厅1厨1卫,高楼层 (共6层),57.77㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,暂无数据,集中供暖,无,2023-11-13,商品房,2013-03-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    商品房，满五年，精装修两居室。
                  ","
                    本小区院里就一个楼，小区不是人车分流，院里不可以进汽车，门口有门卫把守，很安全。
                  ","
                    房子是典型的八零筑二结构，南北通透两居室，主卧室朝南带阳台，次卧室朝北，无遮挡，厨房和卫生间对着，客厅可以吃放，放冰箱没有问题。
                  ",,,"
                    小区配套成熟，医院有协和医院、军区总医院，同仁医院等，银行有建设银行，工商银行，农业银行等，菜市场有南小街菜市场，大方家菜市场，公园有日坛公园，奥林匹克公园等。
                  ",,"
                    公交有63路24路公交到外交部街站下，北京站2号线，东单1号线和5号线。
                  ",,"
                    房子产权清晰，无抵押，无纠纷，无占用，有户口可以迁出，业主诚意卖。
                  ",,
895,['光明楼，板厂南里小区，精装2居室，采光好，位置安静'],580,107767,"['东城', '广渠门']",2室1厅1厨1卫,顶层 (共5层),53.82㎡,平层,暂无数据,板楼,东 西,混合结构,精装,暂无数据,集中供暖,无,2023-11-11,商品房,2015-01-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年商品房本，东西朝向，通风效果好，采光充足
                  ","
                    小区一共13栋楼，是一个完整的社区，有小区管理，楼龄是76-81年之间的，居住人员比较纯粹，先后都已经做过改造了，有小区环境，距离龙潭湖公园步行500米能到，楼旁就是板厂低年级部
                  ",,,,"
                    坐公交六站地就可以到搜秀 新世界 国瑞城等大型购物商城 距小区500米（百度地图）有龙明菜市场 金年丰菜市场 老年人健身小广场 有龙潭公园 龙潭西湖
                  ",,"
                    距离小区650米（百度地图）有交车站，12路夕照寺中街站，12路 34路 35路 36路 41路 54路 72路 139路 352路 561路 957路 958等多路公交的光明楼站，出行方便 节省了您的上班时间与精力
                  ",,,,
896,['二环外和平新城03年建 满五唯一 南北大两居 管理好'],1500,133619,"['东城', '和平里']",2室1厅1厨1卫,中楼层 (共19层),112.26㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,三梯十户,自供暖,有,2023-11-02,私产,2006-08-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    北二环 东城和平新城小区 03年建 环境好 满五唯一南北大两居
                  ","
                    本小区是2003年的商品房社区，强佑集团开发，物业自持，物业费2.7元，一期4栋板塔结合，二期1栋电梯板楼，人车分流，每个楼都可以直达地下车库。小区内部有阳光健身会所，有泳池。
                  ","
                    本房客厅南向，两间卧室北向，主卧室带独立卫生间，阳台半落地，阳台是三面窗户东西北朝向，所以主卧室阳光很高，次卧室有个朝北的落地大阳台，正对一期二期中间的大花园，景观很好。中间层视野完全没问题。本房两居室是两个卫生间，每个功能间都很大
                  ",,,"
                    出小区100米左右就是菜市场，便利店，还有日日生鲜，盒马生鲜，美廉美超市，生活方便。银行营业厅齐全，如交通/工商/建设/光大/广发/中国银行等，医院有和平里医院，应急总医院，中日友好医院，东直门医院等，公园有地坛/青年湖/柳荫公园。
                  ",,,,,,
897,['满五唯一，可配合转商，采光视野好。'],720,79506,"['东城', '永定门']",2室1厅1厨1卫,中楼层 (共11层),90.56㎡,平层,73.76㎡,板塔结合,东 西,钢混结构,精装,一梯三户,自供暖,有,2023-11-03,二类经济适用房,2020-11-13,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，可转商，楼层好，采光视野佳。
                  ","
                    东城区南二环外，本小区2005年建成，中冶集团开发，小区16栋楼一共1582户，1.140元/平米的物业费，小区是天然气采暖，冷暖自控，小区安静适宜居住！
                  ","
                    景泰西里西区2005年的建成年代，钢混结构，电梯直达，东西通透两居室，一梯三户，卧室客厅都是动静分离的，楼层好，采光通风好。
                  ",,,"
                    小区北边是安乐林路，往西是永定门外大街西侧的百荣世贸商城，往东是蒲黄榆物美大卖场和方庄家乐福，多个菜市场悠惠万家，宝华里菜市场，山西天镇蔬菜，蒲安里菜市场等，生活很便利！
                  ",,"
                    此房交通便利，出小区北门100米（来自高德地图）是地铁14号线景泰站D口，东西贯穿往东一站衔接5号线蒲黄榆站，往西一站衔接8号线永定门外站，还有多条公交车经过7路25路，四通八达，十分便利。
                  ",,,,
898,['交东小区，全南两居室，电梯直达，精装修，诚意卖。'],1210,167104,"['东城', '交道口']",2室1厅1厨1卫,低楼层 (共10层),72.41㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯八户,集中供暖,有,2023-11-12,商品房,2019-03-22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    交东小区，商品房，全南两居，带电梯，无遮挡，采光好看房方..
                  ","
                    交东小区于2003年建成，北二环内较新的社区，小区一共15栋楼分为A.B,C三个区域，每个区都有独立的小公园和休息的场所。交东小区2019年被评为东城区示范小区，封闭式管理，进出都需要刷门禁，小区有地面和地库停车位，停车费地面150元每月，地库500元每月。
                  ","
                    电梯南向两居室 入户门左手边是卫生间 可做干湿分离， 19.8㎡的南向客厅带4.1㎡的阳台 视野采光理想 主卧室11.9㎡ 可摆放一张双人床 和一组衣柜，次卧室8.7㎡向阳， 厨房6.5㎡有窗户 空间足够一家人施展厨艺 ，户型居住适宜。
                  ",,,,,"
                    交通便利，出小区就是地铁5号线北新桥,依照百度地图计算本房到达地铁5号线北新桥只有332米，公交站北新桥路口西，途经107路，635路，612路，夜10等公交车，交通便利，出行方便！
                  ",,,,
899,['安交，电梯直达南北三居室，诚意出售'],1470,159870,"['东城', '交道口']",3室1厅1厨1卫,中楼层 (共8层),91.95㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯四户,集中供暖,有,2023-11-13,商品房,2017-06-27,普通住宅,满五年,非共有,"
                                有抵押 200万元 建设银行 客户偿还
                              ",已上传房本照片,"
                    房子商品房满五年唯一住房，高原值，税费成本低，电梯直达
                  ","
                    1.本小区是2003年建成，有规模的小区，总共2511户。有集中的物业管理，封闭式管理。 进出小区是需要刷门禁卡的。
                  ","
                    1.本房南北通透。 2.此房是电梯直达，南北通透 3.此房户型方正，室内格局好使用，3间卧室，大客厅，厨房卫生间使用面积合理。
                  ",,"
                    房子是商品房满五年唯一，产权清晰，产权人在京，随时交易，随时签约。
                  ",,,,,,,
900,['交东小区，全南两居室，电梯直达，精装修，诚意卖。'],1210,167104,"['东城', '交道口']",2室1厅1厨1卫,低楼层 (共10层),72.41㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯八户,集中供暖,有,2023-11-12,商品房,2019-03-22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    交东小区，商品房，全南两居，带电梯，无遮挡，采光好看房方..
                  ","
                    交东小区于2003年建成，北二环内较新的社区，小区一共15栋楼分为A.B,C三个区域，每个区都有独立的小公园和休息的场所。交东小区2019年被评为东城区示范小区，封闭式管理，进出都需要刷门禁，小区有地面和地库停车位，停车费地面150元每月，地库500元每月。
                  ","
                    电梯南向两居室 入户门左手边是卫生间 可做干湿分离， 19.8㎡的南向客厅带4.1㎡的阳台 视野采光理想 主卧室11.9㎡ 可摆放一张双人床 和一组衣柜，次卧室8.7㎡向阳， 厨房6.5㎡有窗户 空间足够一家人施展厨艺 ，户型居住适宜。
                  ",,,,,"
                    交通便利，出小区就是地铁5号线北新桥,依照百度地图计算本房到达地铁5号线北新桥只有332米，公交站北新桥路口西，途经107路，635路，612路，夜10等公交车，交通便利，出行方便！
                  ",,,,
901,['青年湖西里 2室1厅 南 北'],735,130181,"['东城', '安定门']",2室1厅1厨1卫,顶层 (共5层),56.46㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-06,商品房,2015-12-14,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,,,,,,,,,,,,
902,['民安小区东直门北中街 2室1厅 东 西'],640,114266,"['东城', '东直门']",2室1厅1厨1卫,顶层 (共6层),56.01㎡,平层,暂无数据,板楼,东 西,混合结构,精装,暂无数据,集中供暖,无,2023-11-12,商品房,2019-08-13,普通住宅,满两年,非共有,"
                                有抵押 185万元 银行抵押 客户偿还
                              ",已上传房本照片,,,,,,,,,,,,
903,['交道口北二条35号院中层精装三居'],945,134769,"['东城', '交道口']",3室1厅1厨1卫,中楼层 (共6层),70.12㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-11,商品房,2016-05-04,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,"
                    安交，方家，千内精装三居中间层，诚意卖，看房方便。
                  ",,"
                    为改老房格局弊端，业主精心设计，扩大了卫生间面积，厨房次卧格局整改增加了入户鞋柜，双卧朝南，布局动线合理，可拎包入住。
                  ","
                    1.整屋新风 系统，博洛尼家装，通体立柜，窗外加装护栏，保证孩子的安全以及健康。
 2.老房卫生间小特请设计研究院做力学分析报告确保住房安全扩大卫生间使用。
                  ",,,,,"
                    本房正规三居很适合家中人口多的家庭，中间楼层对老人较为友好。
                  ",,,
904,['东城区 东二环 商品房本 满五唯一 地铁7号线 09年建成'],700,98384,"['东城', '广渠门']",2室2厅1厨1卫,中楼层 (共29层),71.15㎡,平层,56.89㎡,板塔结合,东,钢混结构,精装,三梯十二户,集中供暖,有,2023-11-03,商品房,2015-12-16,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,"
                    东城区 东二环 商品房本 满五唯一 地铁7号线 09年建成 诚心出售
                  ","
                    小区位于东二环广渠门桥东南角，小区建成于2009年，物业费是1.42元。保安24小时值勤，单元门刷卡入户。人车分流，地下二层和三层都是停车位，租金6200/年。人口分布为一半北京当地老居民，1/3年轻高知 学家庭小区有电瓶车充电棚，地下车位B3可装充电桩。
                  ","
                    此房户型方方正正，没有任何浪费的地方。两室两厅一厨一卫。动静分离 出售
                  ",,,"
                    小区距离广渠门外站地铁D口200米，500米内有民生、工商、平安、邮储等五家银行，24全时便利店、星巴克、漫咖啡、菲灵健身、广渠社区菜市场、德凤生鲜、崇文门菜市场等，商场有新世界、富力广场、合生汇等多家大型综合性商场，生活配套完善，居住方便
                  ",,"
                    小区交通便利，可以说是三横四纵五轨道。 三横：东长安街，广渠路（小长安街），劲松路 四纵：东二环，东三环，西大望路，东四环 五轨道：地铁5号线，地铁7号线，地铁10号线，地铁14号线和正在建设的地铁17号线 广渠门和马圈公交站
                  ",,,,
905,['东城民旺园 楼龄新 大客厅 满五唯一 中间层 随时看'],860,132737,"['东城', '和平里']",2室1厅1厨1卫,高楼层 (共6层),64.79㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-05,商品房,2016-06-22,普通住宅,满五年,非共有,"
                                有抵押 180万元 客户偿还
                              ",已上传房本照片,"
                    满五唯一，楼龄新，可公积金贷款，中间层，南北通透，随时看
                  ","
                    小区是航天部家属院，小区内一共有7栋楼，本楼新，且不临街无遮挡，小区有绿化，有管理，24小时保安，24小时监控，小区内人员素质高，干净整洁，停车有序，150元/月，也有小花园，有孩子的可以在小区内活动，安全有保障，适合居住
                  ",,,"
                    房子满五年唯一商品房，只有契税，首套1%，二套3%，没有其它税费；
                  ",,"
                    业主是7年前买的，买完自己大装了一下，室内水电都改造了，窗户也都换成断桥铝的了，装修好，业主没怎么住，如果有客户有缘购买，买完收拾一下可拎包入住，不用再为买完再怎么装修，或者装修过程中一些问题等而烦恼，省去时间和经历，家里有孩子也不用担心
                  ",,,,,
906,['和平里七区 2室1厅 南 北'],648,106949,"['东城', '和平里']",2室1厅1厨1卫,顶层 (共6层),60.59㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-11,已购公房,1999-09-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,
907,['甘雨胡同 全明格局两居室 通透 二层 每天都可看房'],815,140712,"['东城', '灯市口']",2室1厅1厨1卫,中楼层 (共6层),57.92㎡,平层,暂无数据,板楼,南 北 西,砖混结构,简装,暂无数据,集中供暖,无,2023-10-31,已购公房,2001-07-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    少有全明格局，南北通透挂西窗，公房满五年， 低楼层，校尉166
                  ","
                    独立小区，独栋楼，干净整洁，总高6层小板楼，免费停车先到先停。
                  ","
                    南北朝向的二居室，主卧室朝南有阳台，次卧室朝北，客厅跟卫生间挂西窗，明厨明卫，全明格局。
                  ",,"
                    已购公房，满五年，交易仅有1个点的个税，和15.6*59.72元的土地出让金，能多贷款，超过303万。税费少，节约购房成本。
                  ","
                    5号线地铁灯市口站，8号线地铁金鱼胡同站，从南到北，机场大巴，出行便捷，协和医院，apm购物商场，优惠万家，工商银行。步行街，和景山公园，散步遛弯很方便
                  ",,,,,,
908,['东城二环外满五唯一 东西通透两居户型 采光视线佳'],658,72237,"['东城', '永定门']",2室2厅1厨1卫,底层 (共11层),91.09㎡,平层,75.89㎡,板塔结合,东 西,钢混结构,简装,一梯五户,自供暖,有,2023-11-02,二类经济适用房,2006-11-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一 东西通透两居 户型可当三居用 近地铁采光视线佳
                  ","
                    小区是2005年回迁社区，总共16栋楼，8-11层的板式小高层，居住人口密度低。人车分流管理，有地下车库，24小时保安值班，管理完善；居民多是老北京人，邻里和谐。
                  ",,,"
                    此房为满五唯一回迁房，首套契税网签价*1.5%+土地出让金网签价*3%，二套契税网签价*3%+土地出让金网签价*3%
                  ","
                    距离天坛公园800米（来源于百度地图），可以遛弯健身；就医有友谊医院、东方医院等三甲医院；购物有百荣商场、新世界购物广场；菜市场有天镇蔬菜直营店、宝华里菜市场；休闲娱乐可以到方庄消费。
                  ",,,,,,
909,['东水井胡同 2室1厅 南 北'],930,104296,"['东城', '朝阳门内']",2室1厅1厨1卫,中楼层 (共15层),89.17㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯三户,集中供暖,有,2023-11-03,二类经济适用房,2006-11-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,
910,['清水苑小区一个理想的家：出则都市繁华  入则独享静谧'],638,106139,"['东城', '东直门']",2室1厅1厨1卫,高楼层 (共12层),60.11㎡,平层,暂无数据,板楼,东 西,钢混结构,精装,一梯八户,集中供暖,有,2023-11-05,已购公房,2009-06-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    模范社区，院内有公园，管理比较好，满五年公房，视野开阔采光好
                  ","
                    东直门板块模范社区清水苑小区，连续多年评为十大金质社区。有专属物业公司管理，小区有24小时摄像头，门口有保安值班，很安全。小区有较大的活动区域，花园区供老人、孩童活动，以及规划的停车场，生活便利有卫生服务站、超市、便民菜市场，居住舒适。
                  ","
                    东直门板块带客厅的两居室，户型没有浪费面积，两卧室朝东向没有遮挡视野开阔，大卧室带阳台享受清晨阳光，户型比较适合新婚家庭，或者三口之家居住，如果您考虑东直门的两居，本房不可错过，欢迎咨询约看本
                  ",,,"
                    小区往南800米（根据百度地图测量）就是银座百货 来福士，小区内就有 蔬菜市场；小区往南2.3公里（根据百度地图测量）有东直门三甲医院，3.5公里（根据百度地图测量）有军区总医院
                  ",,"
                    此房位于东北二环东北角，西测是东二环，西南侧是小吃一条街簋街及东直门医院，南侧是东直门公交枢纽站，公交有123路，966路，612路，44路内环，地铁有2号线，13号线和机场快轨，北侧是机场高速，位置繁华，交通便利。
                  ",,,,
911,['东城区 永定门外 沙子口路65号楼 西南向 两居室 出售'],520,89857,"['东城', '永定门']",2室1厅1厨1卫,中楼层 (共6层),57.87㎡,平层,暂无数据,板楼,西南,砖混结构,简装,暂无数据,集中供暖,无,2023-11-09,商品房,2014-09-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    东城区 楼层好 西南向 采光好 明厨明卫
                  ",,"
                    房子是1985年的，板楼，每层3户，公摊小，西南朝向，采光很好，中间楼层，上下楼方便，洗手间带窗户，居住舒适
                  ",,,"
                    配套齐全，有天坛公园，永定门公园，物美超市，新城广场，百荣世贸商城，合生广场等；医院有东城区人民医院，友谊医院，东方医院等。
                  ",,"
                    小区向北步行800米（百度地图测算）有地铁14号线和8号线永定门站，安乐林路上有公交车7路，25路，出行很方便。向南步行700米（百度地图测算）可达三环木樨园桥东公交站。
                  ",,,,
912,['禾风相府东向两居室，业主诚意出售'],1380,143362,"['东城', '金宝街']",2室1厅1厨1卫,低楼层 (共14层),96.26㎡,平层,暂无数据,板楼,东,钢混结构,简装,一梯六户,集中供暖,有,2023-11-05,商品房,2000-06-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    商品房社区 花园小区 人车分流小区 带电梯 业主诚意出售
                  ","
                    本小区是02年开发商拿地，开发商是亿阳兴城房地产公司，房子是属于05年二期禾风相府，小区人车分流，南北两个花园适合散步，有水系，中空调供暖，物业费3.98元，24小时热水，小区环境好物业管理严格。
                  ",,,,"
                    在小区的西北方向有一个大型的物美，购物便利。医院有陆军总医院，协和医院，都在小区三公里以内，小区的西边有一个公园，景山公园，老人散步比较方便。配套还是比较成熟的。
                  ",,"
                    出小区西门280米就是地铁东四站（数据来源百度地图） 地铁东四站是换乘车站，可换乘地铁5和6号线。小区北边的朝内大街还有多路公交通过，交通便捷。
                  ",,"
                    此房业主属于一手业主，产权清晰，业主单独持有，无任何抵押，随时可签约。
                  ",,
913,['东城区 安定门 交道口 田字格三居 低楼层 满五唯一'],888,123815,"['东城', '安定门']",3室1厅1厨1卫,底层 (共6层),71.72㎡,平层,暂无数据,板楼,东 西,砖混结构,精装,暂无数据,集中供暖,无,2023-11-09,商品房,2012-03-23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一，商品房性质，田字格户型，楼层合适，适宜老人居住
                  ",,"
                    田字格户型，浪费面积少，双卧朝东，次卧朝西，明厨暗卫，适宜居住。
                  ",,,"
                    小区闹中取静，东临雍和宫、孔庙、国子监街，簋街，西临鼓楼、南锣鼓巷，文化气息浓郁；北有二环滨河公园，地坛公园、青年湖公园等。距离地铁2号线安定门站356米（百度地图得知）。北京第六医院，鼓楼中医院，东城图书馆。
                  ",,"
                    小区距离地铁2号线安定门站356米、公交站安定门站266米（途经：104路;108路;113路;124路;特11路;夜18路;夜34路）以上信息来自高德地图步行路线
                  ",,,,
914,['本房满五公房，中间层，近地铁近公园，采光好视野好'],637,133824,"['东城', '安定门']",2室1厅1厨1卫,低楼层 (共11层),47.6㎡,平层,暂无数据,板楼,东 西 北,钢混结构,简装,一梯五户,集中供暖,有,2023-11-01,已购公房,2002-10-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房满五年公房，低总价两居中间层，近地铁近公园，采光好视野好
                  ","
                    安外东河沿小区是公房社区、小区内有花园绿地、休闲活动场所、每栋楼房都新建了残疾人坡道、多数楼栋安装了楼宇对讲装置和探头、小区位置好、交通便利、配套齐全。
                  ",,,"
                    本房是满五年不唯一公房，只有契税，首套1个点，二套3个点，个税1个点
                  ","
                    距离小区300米左右就是地坛公园、地坛公园环境优美、气氛安逸、每到深秋、满地银杏树叶金黄灿灿、红墙碧瓦的公园端庄优雅、与挺拔的银杏树相得益彰、小区距离和平里医院1.5公里左右、小区里面有优惠万家便民市场（距离来源于百度地图）。
                  ",,"
                    安外东河沿小区交通四通八达、距离小区200米左右就是2号线安定门地铁站（距离来源于百度地图）、公交车有301路、119路、快3路、125路等等。
                  ",,,,
915,['海运仓胡同3号院金质南北小复式'],650,98740,"['东城', '东直门']",2室1厅1厨1卫,顶层 (共6层),65.83㎡,复式,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2023-11-01,央产房,2001-04-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房南北通透，采光充足，格局方正小复式，满五唯一
                  ",,,,,"
                    小区外有华润万家超市，来福士购物商场，天泽祥菜市场，东直门医院，军区总院，建设工商农业银行；小区500米外（高德地图测算）有东四十条地铁站等交通便利设施。
                  ",,"
                    步行至东四十条地铁站西北口519米，距东直门地铁站950米。开车出小区南门是平安大街，出小区北门可上东二环，机场高速。约十数条公交车有站停靠（以上数据均来自高德地图）
                  ",,"
                    此房没有抵押查封占用，业主配偶及家属都同意出售无争议无纠纷，产权清晰。
                  ",,
916,['安定门安德路55号院停车方便满五年唯一'],620,96319,"['东城', '安定门']",2室1厅1厨1卫,底层 (共4层),64.37㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,集中供暖,无,2023-11-02,商品房,2017-10-31,普通住宅,满五年,非共有,"
                                有抵押 160万元
                              ",已上传房本照片,"
                    格局好，业主诚心卖，小区停车方便。
                  ","
                    安德路55号院，58年苏联时期建的冶金部大院，共32栋楼，1-21栋是3层的板楼、24-28栋是4层的板楼，22、29、30、31、32栋是6层的板楼。3层、4层的板楼是58年左右的，6层的板楼是86左右的。小区没有管理，但门口有门卫，进出车辆需要登记。停车需要去物业办理..
                  ",,,,"
                    从小区西门出去是青年湖公园南门，从青年湖公园北门出去再往北走是柳荫公园，小区东边过了安定门外大街是地坛公园，小区向西650米有一个早市，算是方远比较大，菜种丰富，和平里医院、安贞医院{距离来自百度地图）
                  ",,"
                    小区位于北二环边上，西边是地铁2号线与8号线换乘站鼓楼站，东边是2号线安定门站，再往东边走是5号线雍和宫站
                  ",,,,
917,['广渠门 忠实里金世纪家园 05年楼 满五唯一 东南一居'],637,99938,"['东城', '广渠门']",1室1厅1厨1卫,低楼层 (共21层),63.74㎡,平层,50.59㎡,塔楼,东南,钢混结构,简装,三梯十二户,集中供暖,有,2023-10-30,二类经济适用房,2009-08-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一，一室一厅，朝东南通风好无噪音，户型方正，物业管理好
                  ","
                    金世纪嘉园是光华建业开发商2005年开盘建造的，铁路部的回迁房，小区内部有一个小花园，是2016年居委会出资从新修缮过的，小区内的老人和小孩平时都会在小区内锻炼玩耍，现在已经配备了首开的天岳恒物业，院内干净整洁，楼道通铺地砖白墙管理会越来越好
                  ",,,,"
                    金世纪嘉园小区600米内（数据来源于百度地图）有福源生鲜，生活用品齐全，还有崇文门菜市场和物美，六一广场生鲜，买菜购物都很方便。小区东边双花园社区医院。
                  ",,"
                    小区南边是号称小长安街的两广路，可以直达通州，西边是二环，开车出行方便；如果担心交通拥挤，地铁出行也很方便，距离地铁7号线广渠门外站843米，可以快速换成地铁5、10、14号线；公交站广渠门站726米，马圈站802米。（以上数据来源于百度地图）
                  ",,,,
918,['忠实里 南向两居室 采光好 业主诚心出售'],680,96591,"['东城', '广渠门']",2室1厅1厨1卫,中楼层 (共16层),70.4㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,2023-11-07,已购公房,2001-12-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子满五年已购公房，税费低，业主诚心出售，随时可以签约
                  ",,"
                    房子是南向两居室，户型方正没有浪费面积，中间楼层没有遮挡，房子采光好
                  ",,,"
                    小区楼下有崇文门菜市场，物美。京客隆，华联等，地铁是7号线广渠门外站，医院有普仁医院，同仁医院，垂杨柳医院，银行有邮储银行，光大银行，北京等银行
                  ",,"
                    公交站是马圈站和广渠门站（有52路，29路，637路，特12路，路等）多路公交车通行，马圈站距离小区350米，（出自百度地图）广渠门站距离小区153米（出自百度地图）。开车出小区左转可以直接上二环路。距离地铁7号线广渠门外站198米（出自百度地图）。
                  ",,,,
919,['东厂胡同 南北通透格局 次顶层 采光充足'],790,138841,"['东城', '灯市口']",2室1厅1厨1卫,高楼层 (共6层),56.9㎡,平层,暂无数据,板楼,南 北,砖混结构,其他,暂无数据,集中供暖,无,2023-11-10,已购公房,2019-05-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透格局，次顶层，视野宽阔，采光充足，配套齐全，交通.
                  ","
                    小区不大，停车不方便。楼体已经整体做过外墙保温，集中供暖，室内管道更换，门窗更换，楼道干净整洁。
                  ",,,,"
                    配套设施有兆军盛菜市场，物美，黄城根遗址公园，景山公园，隆福寺医院，宽街中医院，汉庭酒店，北京银行等。
                  ",,"
                    出小区往北是8号线美术馆地铁站，公交111,108,112,109路美术馆站。
                  ","
                    适合有孩子一家人家庭，楼层次顶层，采光好配套齐全，有菜市场，公园，距离医院近。
                  ",,,
920,['复式结构，采光好，不临街，产权清晰，博洛尼精装'],895,105531,"['东城', '崇文门']",2室1厅1厨2卫,高楼层 (共13层),84.81㎡,复式,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,自供暖,有,2023-11-08,商品房,2015-09-30,普通住宅,满五年,非共有,"
                                有抵押 240万元 中信银行 业主自还
                              ",已上传房本照片,"
                    满五唯一，复式结构，采光好，不临街，产权清晰，博洛尼精装
                  ","
                    开发商是新世界地产开发，物业费1.14元每平米，燃气壁挂炉采暖，家里有老人和小孩的可以根据自己喜欢的温度随时供热调整，楼型是板楼，外墙贴有深色瓷砖，两梯四户、一梯四户等，每个单元都有门禁，管理也不错，配套设施齐全！
                  ","
                    2004年建成入住，本房是一梯四户，房子是上下两层，楼下是客厅、厨房、卫生间、卧室，其中卧室带阳台，楼上是卧室带阳台，楼梯上方搭有平台可以看书写字，二楼还有一个储藏间很实用
                  ",,"
                    税费解析：满五唯一，首套契税1%，二套契税3%，购房成本合理！税费合理。有任何问题联系维护人
                  ","
                    小区位于崇文门地段，旁边有新世界购物、国瑞城商城，搜秀商城；电影院有：搜秀影院，百老汇，医疗配备有同仁、北京、协和等三甲医院，生活购物：特吉特早市、顺天府、山西蔬菜直供市场、全家爱、物美！
                  ",,"
                    公交车四通八达，23路，57路（榄杆市公交站）小区北侧有羊市口公交站8路525路；磁器口北站，花市路口南站623,684,39，等等不一一介绍；小区20米就是普仁医院，二级甲等医院；距离小区1.3公里就是同仁医院和北京医院。距离小区2.4公里就是协和医院
                  ",,,,
