,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,适宜人群,户型介绍,税费解析,周边配套,交通出行,装修描述,权属抵押,售房详情,用水类型,用电类型,燃气价格
827,['南北通透 有客厅 工商银行家属院 紧挨地铁公园'],451,82000,"['海淀', '定慧寺']",2室1厅1厨1卫,中楼层 (共6层),55㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-12-05,商品房,2023-03-21,普通住宅,未满两年,非共有,"
                                有抵押 406万元 中国建设银行股份有限公司 客户偿还
                              ",已上传房本照片,"
                    南北通透 有客厅 工商银行家属院 紧挨地铁公园 中间楼层
                  ","
                    房子单独一栋楼，单独管理，停车先到先停，小区门口有门卫管理严格，进门要求登记，管理比较好，人文素质比较高，居住安全有保障。
                  ","
                    公房社区，原单位居民较多，居住人群素质高，人员单一，定慧寺公园，理发店，超市，方便生活。小区也安静，比较适合老人孩子居住，生活气氛好，视野开阔。
                  ","
                    房子是南北通透的两居室，客厅和卧室的墙不是承重的，业主打通了客厅卧室。房子采光好，楼前是公园，整个卧室和客厅都可以照到，喜欢采光好和大客厅的可以看看房子。
                  ",,"
                    八宝庄小区在阜成路南侧，距离西钓鱼台地铁站1000米左右，来源高德地图，公交车站距离小区400米左右，来源高德地图，有612，56，121，102，106，977等多路公交车经过，出行方便。
                  ",,,,,,,
828,['沁春家园电梯三居，满五唯一，产权清晰，采光视野好。'],668,56334,"['海淀', '西三旗']",3室1厅1厨2卫,中楼层 (共21层),118.58㎡,平层,暂无数据,塔楼,西 西南,钢混结构,简装,两梯八户,集中供暖,有,2023-12-01,商品房,2006-03-01,普通住宅,满五年,非共有,"
                                有抵押 80万元
                              ",已上传房本照片,"
                    海淀满五唯一中楼层电梯三居室双卫客厅落地窗西南向采光视野好
                  ","
                    沁春家园是2000年后建成的商品房社区，小区一共14栋楼，11栋板楼，3栋塔楼2004年建成的集中供暖，板楼全部为燃气壁挂炉自采暖。小区内有花园和健身娱乐棋牌广场，供业主及其家人休闲娱乐使用，另外小区还自带一个双语幼儿园，有地上和地下停车位
                  ",,,,"
                    小区有自己三层底商有市场健身房餐饮等。商场配套：三旗百汇，物美，龙旗广场。医疗配套：北医三院门诊部，龙城医院，昌平中西医结合医院等。交通配套：邮政研究院公交车站，距离育新地铁站800米（数据来源于百度地图）。公园有一街之隔西三旗公园
                  ","
                    出小区东北门是邮政研究院公交车站距离320米 （数据来源于百度地图），经过车辆有393,432,606等26条线路。距离小区最近的地铁站是8号线育新站，距离800米（数据来源于百度地图）往西约800米是京藏高速（数据来源于百度地图）往南就是清河
                  ",,,,,,
829,['力度家园，南向大两居，高楼层，无遮挡，采光充足'],750,65156,"['海淀', '清河']",2室1厅1厨1卫,高楼层 (共21层),115.11㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,集中供暖,有,2023-12-23,私产,2021-05-06,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房南向大两居室，南向采光充足，视野开阔，户型方正，落地窗
                  ","
                    力度家园是2004年建成的商品房社区，带电梯，小区内有篮球场，网球场和一些简单的建设娱乐设施，夏天还有水系，花园里还有凉亭和树木可以乘凉；绿化绿植丰富；小区封闭式的管理，保安24小时值班，进出小区需要刷门禁卡
                  ",,"
                    此房是大的落地窗户，中高楼层，没有遮挡，视野开阔，很适合喜欢大窗户的人群。
                  ",,"
                    小区西侧是万象汇购物广场，之前被称为五彩城，商场内有美食，娱乐，购物，亲子活动等一应俱全；小区南侧是东升八家郊野公园，北侧是燕清体育文化公园，健身休闲方便；出小区后有多条公交线路，交通便利。
                  ",,,,,,,
830,['苏州桥 小南庄大四居  户型方正 业主诚心出售'],1238,73316,"['海淀', '苏州桥']",4室2厅1厨2卫,中楼层 (共18层),168.86㎡,平层,暂无数据,塔楼,西南 北,钢混结构,简装,两梯八户,集中供暖,有,2023-12-01,商品房,2020-01-19,普通住宅,满两年,非共有,"
                                有抵押 880万元 上海银行 客户偿还
                              ",已上传房本照片,"
                    楼龄新 带电梯 面积大 单价低 有个固定车位可以使用
                  ","
                    小南庄是成熟的社区 配套成熟 医院 电梯 公交站 地铁站这些都有。小区已经整体做过改造，舒适度更高些。
                  ",,"
                    房子是西南北大四居室，单独物业管理，北京电视台家属楼，楼龄新，管理比较好
                  ",,"
                    此房所在的小区出小区门口万泉庄公交站，此站有610，563路，26路等多条公交路线，方便您的出行
                  ",,,,,,,
831,['楼龄新中间层，临地铁9号线，户型少见，全明格局'],650,107173,"['海淀', '甘家口']",2室1厅1厨1卫,中楼层 (共6层),60.65㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-12-03,已购公房,2008-07-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    楼龄新中间层，临地铁9号线，户型少见，全明格局
                  ",,"
                    适宜一家人居住，在中间楼层，南北通透，楼前楼后没有遮挡，全天采光充足，家里有老人和小孩都比较适合
                  ",,,"
                    小区配套设施齐全，地铁线有三条，分别是地铁9号线、6号线和16号线，最近一条地铁线是9号线白堆子站，距离房子两百米（数据来源百度地图），海军总医院和玉渊潭公园都在，很方便，最近的超市是顺天府超市，距离小区距离300米（数据来源百度地图）
                  ","
                    本小区位于三环内，地理位置好，交通便利，南侧多条公交线路及地铁线路，四通八达。且小区楼下即是地铁9号线白堆子站，北行两个路口即是地铁6号线白石桥南站。
                  ",,,,,,
832,['新上！电信小区南北通透两居室，精装修，无遮挡'],545,94783,"['海淀', '军博']",2室1厅1厨1卫,底层 (共6层),57.5㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-12-04,商品房,2021-08-17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子南北向，低楼层，采光视野好，无遮挡！
                  ",,"
                    电信小区隶属于北京市海淀区5属于军博独立社区，小区共有11栋楼，居民多为原中国电信及其附属部门员工。电信小区有自己的物业公司天岳恒，出行地铁1号线，9号线，小区居住人群素质高，适合上班找学的换房客户
                  ",,,"
                    房子位于长安街以南，羊坊店路以西，有铁路文化宫有兴业、建行、工商、农行等各大银行，医院有世纪坛医院(三甲医院)、北蜂窝医院、复兴医院、羊坊店医院，有顺天府、C市发、物美
                  ","
                    地铁1号线军事博物馆站和9号线南边是莲石路和北京西站，出小区即是羊坊店路35公交65路，特18路，85路，特8路等多条线路
                  ",,,,,,
833,['海淀军博 新华社小区 环境好 南北精装两居 中间层'],570,96073,"['海淀', '军博']",2室1厅1厨1卫,中楼层 (共5层),59.33㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-12-02,央产房,2019-09-09,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房南北通透，明厨明卫，中间层精装修。采光好，小区管理严格。
                  ","
                    小区是新华通讯社家属小区，小区环境好，管理好，物业晚上有值班人员，晚上有事打电话物业就会安排人员上门。小区卖点是小区很安全，安全到不需要门禁。有占地140公顷的玉渊潭公园，是跑步健身的好去处。南侧800米是世纪坛医院。
                  ",,,"
                    此房央产房，可调档满五年证明，家庭唯一。首套1%契税，二套3%契税。土地出让金925.6元。
                  ","
                    小区北侧有占地140公顷的玉渊潭公园，公园早上晨练时免费的，工作时间票价2元，是跑步健身的好去处，每年的樱花节很多人过来看花。小区南侧800米是世纪坛医院，出小区东门就是地铁1号线9号线军事博物馆地铁站，小区外1公里内还有7号线，10号线地铁站
                  ",,,,,,,
834,['厂长楼 把边客厅有窗户 南北通透双阳台'],650,94877,"['海淀', '北太平庄']",2室1厅1厨1卫,高楼层 (共6层),68.51㎡,平层,暂无数据,板楼,南 西 北,混合结构,简装,暂无数据,集中供暖,无,2023-12-05,央产房,1999-02-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房南北通透，满五年的央产房，大客厅有窗户
                  ","
                    小区是以5-6层的板楼为主，原来的工程兵建筑，质量好，墙体厚。
                  ",,,,"
                    生活配套齐全，花园路道路东西两侧各种店铺，烟酒店、图文打印、五金、清真、果园老农、山西主食厨房等；北边过红绿灯就是翠微百货、一层有翠微超市，三层有西麦郎美食城；海碗居、牛不比火锅、广州顺德菜馆、湘彬萱、辣上瘾、江边城外等美食。
                  ","
                    出行便利：1.地铁：步行650米到地铁10号线、19号线牡丹园站；2.公交：22路、123路公交总站。
                  ",,,,,,
835,['清上园高楼层精装修婚房两居室。'],627,81260,"['海淀', '安宁庄']",2室1厅1厨1卫,高楼层 (共15层),77.16㎡,平层,暂无数据,塔楼,西北,钢混结构,精装,两梯五户,集中供暖,有,2023-12-16,商品房,2016-11-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年业主名下唯一套住房，婚房装修，次顶层电梯，视野好。
                  ","
                    清上园小区是2003年到2006年的商品房社区，一期建设于2003年，二期建设于2006年，本房是清上园二期的，供暖效果比一期好很多，环境好，绿化高达30%，小区是人车分流的，有小花园，有户外棋牌桌，小区内还有幼儿园，方便舒适。
                  ",,"
                    房子是2003年商品房，房子总体朝西北朝向，户型方方正正，没有任何浪费面积，
                  ",,,"
                    清上园小区旁边有大型商超，例如五彩城万象汇，沃尔玛，还有幸福荣耀，小营菜市场，小区出门就有公交车站，2公里左右还有地铁13号线清河站和8号线上地站，交通方便，
                  ","
                    业主是2017年婚房装修，后期是自己一直在住，保养好，可以直接入住，不需要在装修。
                  ",,,,,
836,['皂君西里南北满5唯一，急售，价格可谈，多15平米卧室'],569,99129,"['海淀', '皂君庙']",2室1厅1厨1卫,底层 (共6层),57.4㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-30,已购公房,2010-07-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满5年公房，业主家庭名下唯一住房，精装修，窗户多，很亮堂。
                  ","
                    公房社区里管理比较好的，烟厂宿舍的，管理比较好，有健身器材，停车相对方便，小区大门口24小时保安值班，车辆出入电子抬杆。有代收快递，小区大门外边有皂君西里公交车站。
                  ",,"
                    南北通透，把边单元，所以客厅和卫生间比同户型的房子多西窗户， 多一个15.4平大阳台，可以当做三居室使用
                  ","
                    满5年，业主家庭名下唯一住房，烟厂宿舍非央产公房，不用办理央产房上市首先，还可以多贷款，减少购房压力。
                  ",,,,,"
                    业主单纯变现，房子无租户，看房方便，无抵押，产权清晰，稳定签约。
                  ",,,
837,['郦城三区云楼三居，户型好，看房随时，国有资产'],1796,104932,"['海淀', '四季青']",3室1厅1厨2卫,高楼层 (共7层),171.16㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023-12-04,商品房,2004-05-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    户型楼层好，只有契税，可按成交价贷款，看房随时
                  ","
                    小区2005年商品房社区，环境优美，楼间距为50-70米、配套好，有休闲娱乐场以及带喷泉的花园，小区的物业管理也很不错，24小时保安值岗，配备可视频电话。从安全方面考虑，小区完全人车分离，处处体现小区高品质的生活，适合居住。
                  ",,"
                    小区是06年左右建成的，比较新的纯商品房社区，房字户型很好一梯两户，客厅双卧室朝南，一次卧室朝北，套内使用面积大，房字带电梯，目前有钥匙看房基本随时
                  ","
                    房字为国有资产，首套贷款1.5%契税，二套3%契税，平台费1%，贷款服务费贷款额的1.1%，中介费2%
                  ","
                    社区旁边有麦德龙、金四季购物广场、四季青医院、农业银行、建设银行、工商银行、常青园幼儿园等，距离6号线五路居站距离2300米，10号线车道沟长春桥站2600米（根据百度地图测量）
                  ",,"
                    房字楼层位置不错，精装修，目前空置看房基本随时，如果要求不高的话可领包入住
                  ",,,,,
838,['毛纺住宅北小区，满五唯一，有电梯，大客厅，视野好'],525,64576,"['海淀', '安宁庄']",2室1厅1厨1卫,中楼层 (共14层),81.3㎡,平层,暂无数据,板楼,西南 东北,钢混结构,精装,两梯两户,集中供暖,有,2023-12-17,商品房,2012-05-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，带电梯，方便2改3，价格可谈，随时签约。
                  ","
                    这个小区是1992年到1996年的小区，小区环境优美，停车位充足，2019年小区刚进行了老旧小区的改造，包括改造上下水，外立面，保温层，增加了立体停车库。
                  ",,,,"
                    这个小区旁边有两个公园，碧水风荷公园和燕清文化体育公园，小区旁边就有公交车站333总站，有393，392，614，618等多趟公交车经过。地铁昌平线清河小营桥站已经开通，
                  ","
                    地铁：昌平线：清河站，清河小营桥站 13号线：清河站，上地站 公交：安宁庄东路南口：432路，393路，618路，333路，392路等 清河小营桥西：618路，688路，614路，392路，632路，518路，328路，476路等
                  ",,,,,,
839,['翠微路16号93年 楼龄新 南北朝向 满5年'],586,112477,"['海淀', '公主坟']",1室1厅1厨1卫,底层 (共10层),52.1㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,两梯十一户,集中供暖,有,2023-12-18,已购公房,2000-04-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满5年公房，南北朝向，1993年楼龄新，小区环境好
                  ","
                    翠微路16号院是公主坟区边规模达 比较成熟的小区， 大部分住户都是船舶家属院  生活气息浓居住人员素质高，出行便利
                  ",,"
                    房子南北向1居室带厅的格局设计，进门是客厅 ， 主卧室带阳台朝南向（采光好）......我认为在老公房社区里 该户型厨房 卫生间两者的格局使用空间是最宽敞的。建议可以实地看房感受
                  ","
                    业主和配偶都同意出售， 而且房本登记时间已满五年公房，客户购买只涉及契税（首套1%或二套3%），土地出让金
                  ","
                    该楼栋建成于1993年位于小区中间位置 而且楼下就是小区公园。平时的生活及出行很方便。交通有：地铁1号线万寿路站和10号线公主坟站 公交：翠微路公交 万寿路站等。日常生活方面有：近超市 银行 公园 菜市场 商城等
                  ","
                    小区位于长安街北侧，地铁1号线和地铁10号线公主站，交通有335，89、120、76、337、1路等多条公交线路，交通便利，出行方便，小区有小型菜市场，购物方便生活便利。
                  ",,,,,,
840,['铁道部双南2居室，户型方正，高楼层视野无遮挡。'],1100,142303,"['海淀', '军博']",2室1厅1厨1卫,高楼层 (共18层),77.3㎡,平层,64.46㎡,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,2023-12-04,二类经济适用房,2014-06-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    铁道部双南2居室，户型方正，高楼层视野无遮挡，采光充足
                  ","
                    铁路总公司住宅区，2009年建成，小区3栋塔楼，3栋板塔结合，4栋板楼。有3层地下停车位，前后两个花园
                  ","
                    本房是一个两居，有正规客厅，楼层高，有电梯，比较适合一家人居住，带孩子或老人一起住的家庭，小区环境好
                  ",,,"
                    医院：北京铁路总医院、北蜂窝医院、复兴医院、世纪坛医院 银行：中国农业银行万寿路支行会城门储蓄所、工商银行北蜂窝路支行、农村信用合作社西站分社、工商银行会城门支行、建设银行北蜂窝中路储蓄所 购物：顺天府，物美。公园：玉渊潭。
                  ","
                    地铁1号线军事博物馆站和木樨地站，小区东门口有公交车站牌，出行方便
                  ",,,,,,
841,['6+10号慈寿寺地铁，北门停车方便近超市诚心卖看房方便'],488,77338,"['海淀', '定慧寺']",2室1厅1厨1卫,顶层 (共6层),63.1㎡,平层,暂无数据,板楼,东 西,混合结构,毛坯,暂无数据,集中供暖,无,2023-11-27,已购公房,2023-11-06,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    总价低，客厅带阳台主力户型，6+10号慈寿寺地铁，北门停车方便
                  ","
                    旁边是6号与10号换乘站慈寿寺站，开发商:西域住宅开发公司，小区物业:华丽楼宇。板楼物业费:1.35元/平米。塔楼2.05元/平米。供暖30/元平米。停车费120元/月。小区一共38栋住宅楼，3栋塔褛，2栋塔板结合，剩下都是6层的板楼。小区南门可以进出机动车
                  ",,"
                    户型是小区主力户型，客厅带阳台，采光供暖好，顶层可储物,总价低。
                  ",,"
                    小区配套完善，小区南门54号楼和北门5号楼一层都有综合底商，购物便捷，小区内有便民莱篮子菜市场，小区东门可以直接进入玲珑公园，北门正对京门铁路主题公园，北门北侧是6号线和10号线换乘慈寿寺站，出行方便，小区以东1.5公里范围内有两所三甲医院
                  ",,,,,,,
842,['中关村 航天五院家属院 东南向 两居室'],768,129950,"['海淀', '中关村']",2室1厅1厨1卫,中楼层 (共14层),59.1㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,2023-12-23,央产房,2009-05-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子是单位分房 电梯直达 华润物业管理好，楼层合适，采光不错
                  ",,"
                    此房比较适宜家中有老人及孩子的家庭，首先，小区环境优美，老人和孩子可以在凉亭和滑梯处娱乐休闲，且楼龄较新，相对比较美观，小区闹中取静，不喧嚣，转手率低，大多数还是航天的家属，因此人文环境较好，施工质量好，难得的宜居之地
                  ",,,"
                    出小区购物有：中关村购物商圈，新中关购物等；商场有：超市发超市；医院有：海淀医院，中关村医院和海淀妇幼，北医三院等； 银行有：建设、光大、工商、农业、交通、兴业、邮政、北京农商等；
                  ",,,,"
                    此房业主是原始的一手业主，单位分房后一直在此居住，现在因为年龄大了，想要搬去跟孩子同住，产权清晰，无抵押及查封，家中意见一致，随时可以签约。
                  ",,,
843,['铁东小区中间楼层，采光好，布局合理，无浪费，无遮挡'],569,102339,"['海淀', '军博']",2室1厅1厨1卫,中楼层 (共6层),55.6㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-19,已购公房,2005-11-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房子中间楼层，采光好，布局合理，无浪费，无遮挡，满五年唯一
                  ",,"
                    房子属于正规两居室，适合刚需客户和小两口一家三口居住，交通生活配套完善
                  ",,,"
                    铁东小区，位于长安街以南，羊坊店路以西，有电影院，铁路文化宫，有兴业、建行、工商、农行等各大银行，医院有世纪坛医院（三甲医院）、北蜂窝医院、复兴医院、羊坊店医院，顺天府、物美
                  ","
                    小区出行很方便，有公交65路，85路，21路，414路等，距离地铁7号线9号线北京西站站669米，距离地铁1号线9号线军事博物馆站1200米（以上数据来源于百度地图），交通便利
                  ",,,,,,
844,['甘家口8号院 2室1厅 西南'],560,86822,"['海淀', '甘家口']",2室1厅1厨1卫,底层 (共4层),64.5㎡,平层,暂无数据,板楼,西南,混合结构,简装,暂无数据,集中供暖,无,2023-12-15,央产房,2023-12-08,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,
845,['友谊社区，满五年唯一央产房，3层，前后无遮挡不临街'],630,97433,"['海淀', '苏州桥']",2室1厅1厨1卫,中楼层 (共6层),64.66㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-12-14,央产房,2020-06-04,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    友谊社区，满五年唯一央产房，3层，前后无遮挡不临街
                  ","
                    此小区楼间距比较大，车位充足，绿树如茵，基本都是原住居民，进小区门有一个广场，广场是孩子和大妈娱乐天堂，大爷们的直播现场，广场两旁是大叶梧桐树，树下是长廊，长凳，平常十分热闹，扶老携幼，嬉笑打闹，三五成群下棋，打牌，聊天，其情切切，其乐融融
                  ",,,"
                    家庭此房已经满五年，名下就这一套住房，首套1%的契税，二套3%的契税，另外有每平米15.6元的土地出让金。
                  ","
                    房子500米内当代商城，华宇购物，双安商场，chao市发，华星影城，以及旁边美食一条街，距海淀医院1000米，海淀妇幼1600米，中关村区域1300米.
                  ","
                    小区出门200米分别是四通桥西公交站和三义庙公交站，300米是人民大学地铁口A1口西北口，出小区就是北三环西路，交通便利。门口有直达的机场大巴。
                  ",,,,,,
846,['宝盛里小区中间位置的两居，无遮挡，采光好'],518,75324,"['海淀', '清河']",2室1厅1厨1卫,中楼层 (共6层),68.77㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-12-08,商品房,2008-10-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    宝盛里商品房社区，满五年唯一，中间层，位置比较好
                  ",,,"
                    南北朝向的两居室，主卧室朝南带有阳台，客厅朝北有一个小阳台，次卧室朝北，整体南北通透，居住舒适。
                  ","
                    房子为商品房，满五年，业主置换房子，对于首套购买的客户契税1%，二套购买的客户契税3%。
                  ","
                    小区生活设施齐全，北门有新隆嘉生鲜，迪亚天天，京客隆等便利店，社区南门有西三旗社区卫生服务站，便于孩子打疫苗老人取药等。小区西侧有西三旗公园，南侧是奥林匹克森林公园，东侧还有东小口森林公园，生态环境好，适合周末休闲娱乐的好去处。
                  ",,"
                    装修业主全部选用的品牌家装公司，使用的都是品牌的环保型装修材料，可以放心居住使用！
                  ",,,,,
847,['厂长楼 把边客厅有窗户 南北通透双阳台'],650,94877,"['海淀', '北太平庄']",2室1厅1厨1卫,高楼层 (共6层),68.51㎡,平层,暂无数据,板楼,南 西 北,混合结构,简装,暂无数据,集中供暖,无,2023-12-05,央产房,1999-02-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房南北通透，满五年的央产房，大客厅有窗户
                  ","
                    小区是以5-6层的板楼为主，原来的工程兵建筑，质量好，墙体厚。
                  ",,,,"
                    生活配套齐全，花园路道路东西两侧各种店铺，烟酒店、图文打印、五金、清真、果园老农、山西主食厨房等；北边过红绿灯就是翠微百货、一层有翠微超市，三层有西麦郎美食城；海碗居、牛不比火锅、广州顺德菜馆、湘彬萱、辣上瘾、江边城外等美食。
                  ","
                    出行便利：1.地铁：步行650米到地铁10号线、19号线牡丹园站；2.公交：22路、123路公交总站。
                  ",,,,,,
848,['翠微路16号93年 楼龄新 南北朝向 满5年'],586,112477,"['海淀', '公主坟']",1室1厅1厨1卫,底层 (共10层),52.1㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,两梯十一户,集中供暖,有,2023-12-18,已购公房,2000-04-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满5年公房，南北朝向，1993年楼龄新，小区环境好
                  ","
                    翠微路16号院是公主坟区边规模达 比较成熟的小区， 大部分住户都是船舶家属院  生活气息浓居住人员素质高，出行便利
                  ",,"
                    房子南北向1居室带厅的格局设计，进门是客厅 ， 主卧室带阳台朝南向（采光好）......我认为在老公房社区里 该户型厨房 卫生间两者的格局使用空间是最宽敞的。建议可以实地看房感受
                  ","
                    业主和配偶都同意出售， 而且房本登记时间已满五年公房，客户购买只涉及契税（首套1%或二套3%），土地出让金
                  ","
                    该楼栋建成于1993年位于小区中间位置 而且楼下就是小区公园。平时的生活及出行很方便。交通有：地铁1号线万寿路站和10号线公主坟站 公交：翠微路公交 万寿路站等。日常生活方面有：近超市 银行 公园 菜市场 商城等
                  ","
                    小区位于长安街北侧，地铁1号线和地铁10号线公主站，交通有335，89、120、76、337、1路等多条公交线路，交通便利，出行方便，小区有小型菜市场，购物方便生活便利。
                  ",,,,,,
849,['苏州桥 小南庄大四居  户型方正 业主诚心出售'],1238,73316,"['海淀', '苏州桥']",4室2厅1厨2卫,中楼层 (共18层),168.86㎡,平层,暂无数据,塔楼,西南 北,钢混结构,简装,两梯八户,集中供暖,有,2023-12-01,商品房,2020-01-19,普通住宅,满两年,非共有,"
                                有抵押 880万元 上海银行 客户偿还
                              ",已上传房本照片,"
                    楼龄新 带电梯 面积大 单价低 有个固定车位可以使用
                  ","
                    小南庄是成熟的社区 配套成熟 医院 电梯 公交站 地铁站这些都有。小区已经整体做过改造，舒适度更高些。
                  ",,"
                    房子是西南北大四居室，单独物业管理，北京电视台家属楼，楼龄新，管理比较好
                  ",,"
                    此房所在的小区出小区门口万泉庄公交站，此站有610，563路，26路等多条公交路线，方便您的出行
                  ",,,,,,,
850,['楼龄新中间层，临地铁9号线，户型少见，全明格局'],650,107173,"['海淀', '甘家口']",2室1厅1厨1卫,中楼层 (共6层),60.65㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-12-03,已购公房,2008-07-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    楼龄新中间层，临地铁9号线，户型少见，全明格局
                  ",,"
                    适宜一家人居住，在中间楼层，南北通透，楼前楼后没有遮挡，全天采光充足，家里有老人和小孩都比较适合
                  ",,,"
                    小区配套设施齐全，地铁线有三条，分别是地铁9号线、6号线和16号线，最近一条地铁线是9号线白堆子站，距离房子两百米（数据来源百度地图），海军总医院和玉渊潭公园都在，很方便，最近的超市是顺天府超市，距离小区距离300米（数据来源百度地图）
                  ","
                    本小区位于三环内，地理位置好，交通便利，南侧多条公交线路及地铁线路，四通八达。且小区楼下即是地铁9号线白堆子站，北行两个路口即是地铁6号线白石桥南站。
                  ",,,,,,
851,['新上！电信小区南北通透两居室，精装修，无遮挡'],545,94783,"['海淀', '军博']",2室1厅1厨1卫,底层 (共6层),57.5㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-12-04,商品房,2021-08-17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子南北向，低楼层，采光视野好，无遮挡！
                  ",,"
                    电信小区隶属于北京市海淀区5属于军博独立社区，小区共有11栋楼，居民多为原中国电信及其附属部门员工。电信小区有自己的物业公司天岳恒，出行地铁1号线，9号线，小区居住人群素质高，适合上班找学的换房客户
                  ",,,"
                    房子位于长安街以南，羊坊店路以西，有铁路文化宫有兴业、建行、工商、农行等各大银行，医院有世纪坛医院(三甲医院)、北蜂窝医院、复兴医院、羊坊店医院，有顺天府、C市发、物美
                  ","
                    地铁1号线军事博物馆站和9号线南边是莲石路和北京西站，出小区即是羊坊店路35公交65路，特18路，85路，特8路等多条线路
                  ",,,,,,
852,['海淀军博 新华社小区 环境好 南北精装两居 中间层'],570,96073,"['海淀', '军博']",2室1厅1厨1卫,中楼层 (共5层),59.33㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-12-02,央产房,2019-09-09,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房南北通透，明厨明卫，中间层精装修。采光好，小区管理严格。
                  ","
                    小区是新华通讯社家属小区，小区环境好，管理好，物业晚上有值班人员，晚上有事打电话物业就会安排人员上门。小区卖点是小区很安全，安全到不需要门禁。有占地140公顷的玉渊潭公园，是跑步健身的好去处。南侧800米是世纪坛医院。
                  ",,,"
                    此房央产房，可调档满五年证明，家庭唯一。首套1%契税，二套3%契税。土地出让金925.6元。
                  ","
                    小区北侧有占地140公顷的玉渊潭公园，公园早上晨练时免费的，工作时间票价2元，是跑步健身的好去处，每年的樱花节很多人过来看花。小区南侧800米是世纪坛医院，出小区东门就是地铁1号线9号线军事博物馆地铁站，小区外1公里内还有7号线，10号线地铁站
                  ",,,,,,,
