,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,交通出行,适宜人群,户型介绍,权属抵押,售房详情,装修描述,税费解析,用水类型,用电类型,燃气价格,别墅类型
1008,['通瑞嘉苑西区 2016年新社区 电梯房'],335,38077,"['通州', '潞苑']",3室1厅1厨1卫,中楼层 (共17层),87.98㎡,平层,暂无数据,板塔结合,东 西,钢混结构,精装,两梯四户,集中供暖,有,2023-11-27,自住型商品房,2018-11-05,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,"
                    通瑞嘉苑西区，2016年电梯房，正规通透三居室，采光视野好。
                  ",,"
                    小区西门有三甲友谊医院，东侧1500米是正在建设安贞医院，南门西侧100米有生活购物，北门是健身房和游泳馆，北门东侧200米有多路公交车。
                  ","
                    小区四周都有公交线路，有多趟公交，专88，通勤（微）70,552路，675路,316路，824路，388路，专77路等。
                  ",,"
                    房子是正规三居室电梯房，全明户型卫生间带窗户，客厅和卧室朝东，一个卧室朝西，厨房带窗户。格局方正没有浪费面积。
                  ",,,,,,,,
1009,['新通国际花园花园一居室   看房方便  欢迎咨询'],195,37857,"['通州', '梨园']",1室1厅1厨1卫,中楼层 (共21层),51.51㎡,平层,41.37㎡,板塔结合,北,钢混结构,简装,一梯四户,集中供暖,有,2023-11-24,商品房,2011-07-08,普通住宅,满五年,非共有,"
                                有抵押 10万元 业主自还
                              ",已上传房本照片,"
                    满五唯一， 近地铁，配套齐全。
                  ","
                    小区是2009年成熟社区，一共15栋住宅楼，分为南北两区，有水系，有网球场和l篮球场，人车分流，24小时安保管理，外卖电车是不能进小区里的，物业费2.2元平，集中供暖30元平，带一所公立幼儿园，每月收费1150元.地上停车位150元月，地下停车位380元月
                  ","
                    家乐福，贵友商厦，苏宁电器，蓝岛大厦，淘宝城.2、医院：潞河医院，东直门医院， 妇幼保健院.3、公园：大运河森林公园， 运河奥体公园，碧水公园，梨园主题公园.4、银行：工商银行，建设银行，交通银行，北京银行等.5、酒店：亚太花园.
                  ","
                    小区门口就有环保自行车和公交车，本小区距离地铁梨园站只有400米距离（百度地图），交通方便，小区北门出门多条公交线路也让您的出行很方便。806 938 587 805 807 通14路 通9路，四通八大，开车进市区都是高速直达国贸，有京通，两广路（免费），京哈等。
                  ",,"
                    房子有大阳台，夏天通风的效果也不错，冬天的供暖效果也很好。放心看房   安心入住
                  ",,,,,,,,
1010,['华业东方玫瑰A区  中楼层开间  视野好'],159,47734,"['通州', '临河里']",1室0厅1厨1卫,高楼层 (共27层),33.31㎡,平层,25.16㎡,板塔结合,西南,钢混结构,简装,两梯九户,集中供暖,有,2023-10-20,商品房,2020-06-01,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是华业小户型，总价低，楼层中间，视野好，朝社区安静。
                  ","
                    华业项目组合多元物业形态，包含住宅、公寓、集中步行街、会所于一体，使得7000余户美好家庭得以体验生活的原本，小区园林秉承南方园林风格，水系亭台景观雅致，推开窗户，不经意间就沉浸于自然之中。
                  ",,,"
                    房屋适合刚需年轻人初次购房，总购房成本低，首付少，购房压力小。
                  ",,"
                    房屋房主是全款购买的，无抵押，产权清晰，随时可以交易，手续简便。
                  ",,,"
                    房屋是商品房，买方只需要承担一个契税就可以。其他产生的税费由卖方承担。
                  ",,,,
1011,['久居雅园小高层社区，户型方正诚心出售'],185,33334,"['通州', '临河里']",1室1厅1厨1卫,中楼层 (共12层),55.5㎡,平层,46.58㎡,板塔结合,北,钢混结构,其他,一梯三户,集中供暖,有,2023-05-11,商品房,2023-05-10,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子满五年唯一 带电梯 看房方便 诚意出售 格局方正
                  ","
                    小区一共8栋楼，都是板楼，其中3栋不带电梯，5栋带电梯。小区是空调集中供暖，采暖费30元平一个采暖季，夏季的时候免费享受三个月的冷风，供暖和制冷都很好，小区开车从西门进入，一进门是小区的活动广场，适合带孩子玩，北门是步行或者骑车进入
                  ","
                    小区东南侧有隆孚大厦，南侧是环球影视城，东边有梨园主题公园，西边有安琪妇产医院，东直门医院，鑫福运来综合市场，北边有蓝岛大厦，贵友大厦，潞河医院，配套齐全，生活方便
                  ","
                    小区南边是地铁七号线群芳站，东边是1号线，临河里站，出门左转有多路公交车，372，647，通7，通10，通18，临8，途径九棵树，果园，北苑，万达，潞河医院，后南仓，去哪儿都比较方便。
                  ",,,,,,,,,,
1012,['k2玉兰湾南向两居室  无遮挡采光视野好'],505,54749,"['通州', '九棵树(家乐福)']",2室1厅1厨1卫,中楼层 (共27层),92.24㎡,平层,73.63㎡,板楼,南,钢混结构,简装,两梯五户,集中供暖,有,2023-10-04,商品房,2023-02-14,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房是全南向两居室，无遮挡 采光视野好
                  ","
                    小区是2016年3月份交房的新社区，人车分流，有假山水系，休闲区，儿童娱乐区，健身器械锻炼区，多重密植覆盖，居住舒适，总共12栋楼，小区物业费3.68元每平米，地暖集中供暖每平米30元，24小时安保巡逻，小区自带童梦童享幼儿园和健身会所，安静舒适
                  ","
                    小区北门是领展购物广场（原京通罗斯京福广场），家乐福，九棵树地铁站，门口的街多家银行入驻：有中国银行，北京银行，北京农商银行，建行，交行，工行，招行，移动，联通，电信营业厅，小区南面有正在建设中的通州云景公园，生活便捷
                  ","
                    小区北门是地铁八通线九棵树地铁站，还有多路公交车枢纽：668，669，通11，通12；938等，太阳花酒店门口有去往顺义机场和大兴机场的大巴，自驾可以上京通快速，广渠快速路和京哈高速，出行方便
                  ",,,,,,,,,,
1013,['万达商圈，采光充足，南北通透，'],210,31949,"['通州', '通州北苑']",2室1厅1厨1卫,顶层 (共6层),65.73㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-10-04,已购公房,2022-11-17,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    万达商圈，采光充足，南北通透，
                  ","
                    小区规模不大，一共两栋楼，安静舒适，门口保安24小时值班，认真负责
                  ",,"
                    小区出门东行900米左右就是北苑地铁站，还有公交站有668.669.807路，小区北边是京通快速路，南边1.5公里左右就是已经通车的广渠路。出行便利！
                  ","
                    此房适合首套购房客户，业主对于贷款方式没有要求，商贷，公积金贷款，或者组合贷款都可以，公积金和组合贷款
                  ","
                    此房是南北通透的小两居，主卧室朝南，次卧室北向，客厅南向的，有一个小阳台，户型方正。
                  ",,,,,,,,
1014,['通州北苑万达商圈，标准两居室，南北通透，低楼层'],339,41236,"['通州', '通州北苑']",2室1厅1厨1卫,低楼层 (共6层),82.21㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-10-12,已购公房,2022-12-27,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    交通便利，楼层好，采光充裕，房龄新
                  ",,"
                    小区南侧就是万达广场，有美食金街、永辉、中国银行、建设银行、万达影院；东侧有大中电器、苏宁易购、物美；西侧是国泰百货、华联商厦；此外自驾出行有京通快速路，公交、地铁也都方便；
                  ",,,"
                    南北通透，客厅朝南带阳台，主卧朝南；次卧朝北，厨房朝北带阳台；两个卧室中间是卫生间；户型方正，布局合理，没有浪费面积；
                  ","
                    产权清晰，无抵押，无贷款；房主无诉讼及债务纠纷，产权证在手，随时可以签约。
                  ","
                    房主售房，是处理闲置，变现；之前一直出租，无暇顾及，现在空置，有钥匙，随时可看。
                  ",,"
                    房屋产权是成本价的公房，契税：首套1%，二套3%；增值税：免征；个人所得税：1%；土地出让金：1060.5元。
                  ",,,,
1015,['东惠家园 2室2厅 南'],320,35671,"['通州', '通州其它']",2室2厅1厨1卫,低楼层 (共28层),89.71㎡,平层,67.71㎡,塔楼,南,钢混结构,简装,一梯四户,集中供暖,有,2023-08-03,二类经济适用房,2021-08-05,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,,
1016,['海棠湾三期 全明格局 正规两居室 视野好采光好 高楼层'],465,51713,"['通州', '临河里']",2室1厅1厨1卫,中楼层 (共27层),89.92㎡,平层,72.48㎡,塔楼,东南,钢混结构,精装,三梯十一户,集中供暖,有,2023-08-23,商品房,2022-05-25,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    楼层好，视野宽阔，采光充足，配套设施齐全，交通便利
                  ",,"
                    小区配套齐全，南北双地铁。地铁7号线群芳站 距离小区800米。地铁八通线梨园站距离小区1800米。大部分房子都可以看到环球影城，景观好。，出行方便购物的话可以去蓝岛大厦，贵友大厦，淘宝城，物美苏宁等各大商场，购物便捷。梨园幼儿园100米。出行方便。
                  ","
                    小区南门口 就有绿色交通自行车，还有591路公交车，小区的西侧有372路647路通7路通10路等多条公交路线，交通便利。南门坐公交两站直达惠民菜市场。买菜方便。南北双地铁，地铁7号线群芳站，步行1100米。公园200米。三条高速，东六环 京沈高速 广渠路。
                  ","
                    小区是改善型社区。目前自住的居多，小区购买人群分两类，因为小区主打的是两居室和三居室，所以，1.通州小区改善购买这个小区的居多。小区人车分流，有3500平米景观湖。2.市里业主，小区配套齐全，环境好。可以在小区里逛公园。安全 方便。
                  ",,,,,,,,,
1017,['海棠湾三期 方正开间 高楼层视野好'],242,47101,"['通州', '临河里']",1室0厅1厨1卫,中楼层 (共27层),51.38㎡,平层,暂无数据,塔楼,南 东,钢混结构,精装,三梯十一户,集中供暖,有,2023-06-19,商品房,2022-05-11,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    诚心出售，价格可谈，楼层好，户型方正
                  ","
                    海棠湾小区是2011年建成的社区，共三期都在一个园区，总共16栋住宅楼包括5栋爱曾洋房，小区采用人车分流设计，车辆进小区就下地库，小区内有大约108种绿植，小区有人工湖，小区内还有网球场，小区物业费2.4每平米，供暖费30元每平米
                  ","
                    小区配套齐全，购物的话可以去蓝岛大厦，贵友大厦，淘宝城，物美苏宁等各大商场，购物便捷。小区北门步行到梨园城铁1500米左右，另有多条公交线路可乘，两站地就到。通7、通10、591、372等多路公交车，出行方便
                  ","
                    出行方便，您要开车南北门都有出口，坐地铁的话十字路口骑上小绿自行车，以每小时30公里的速度1500米蹬到梨园城铁，节能环保；从小区南门到地铁7号线步行距离1000米（来源于高德）公交车有591，647、372、通7、通10、临8...说走就走的低碳环保之旅！
                  ",,,,,,,,,,
1018,['通州万达商圈 交通配套齐全 南北两居 诚心出售'],280,40364,"['通州', '通州北苑']",2室1厅1厨1卫,中楼层 (共6层),69.37㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-12-15,已购公房,2002-03-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子中间层，有小区环境，改造完毕，有外保温
                  ","
                    小区位于通州北苑地铁站西南侧，小区物业费0.6元，供暖费24元/平米，生活成本较低.小区内共有15栋楼，分别建成于1998年，2000年-2001年，2004年，该房源所在楼栋为1998年建成
                  ","
                    距离万达广场1230米左右，1250米左右国泰百货，小区东小门口200米左右华联卖场，500米左右还有北机农贸市场时令果蔬随时享，小区500米范围内农业银行，工商银行，邮政银行，建设银行满足您对金融方面的需求。
                  ","
                    小区门口有环保自行车，小区门口的公交站是通州杨庄站，668..807.等可以走京通快速路直接到国贸，北京站，距离到通州北苑地铁站998米左右(数据来自高德地图），小区处于京通快速路和广渠路中间位置出行很方便。
                  ",,,,,,,,,,
1019,['近公园 一梯二户电梯洋房 人车分流 绿化30'],315,33500,"['通州', '通州其它']",3室2厅1厨1卫,中楼层 (共8层),94.03㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023-12-08,商品房,2020-07-15,普通住宅,满两年,共有,"
                                有抵押 213万元 农业银行 客户偿还
                              ",已上传房本照片,"
                    南北通透，一梯两户电梯房，中间楼层，前后楼间距大，采光好
                  ",,"
                    小区生活配套设施齐全，京东便利店，御锦生活便利店，项目邻北京东郊森林湿地公园，环境优美，空气清新宜人，北京首儿李桥儿童医院
                  ","
                    交通出行主要自驾为主，小区西侧距离2000米（来自百度地图）是半壁店收费站，是京平高速，京平高速连接机场高速，小区东侧行驶1500米（来自百度地图）是通顺路，通顺路连接北京六环路，京通快速路，徐尹路，壁富路，交通便利。
                  ",,"
                    南北通透三居室，卫生间带窗户，明厨明卫。房子整体户型方正，活动区域开阔，居住舒适度高，楼层好，可保证整体空间的采光和通风，动静分离，户型方正无浪费面积。前后楼间距大，采光从早到晚不受限
                  ",,,,,,,,
1020,['满五唯一 自住精装修 采光视野好 正规一居室 诚心卖'],242,41396,"['通州', '临河里']",1室1厅1厨1卫,中楼层 (共28层),58.46㎡,平层,46.4㎡,板楼,南,钢混结构,精装,两梯五户,集中供暖,有,2023-12-10,限价商品房,2015-07-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一 正规一居室 全南户型 诚心卖 精装修 采光视野好
                  ","
                    社区是华远集团2014年开发建设的，社区共5栋楼，物业是华远自持物业，圣瑞物业公司
                  ","
                    配套齐全，社区西侧是华远好天地街，6.8万平米，有博纳国际影院，华联超市，大鸭梨家常菜，肯德基，庆丰包子，华夏银行，中国银行，迪卡侬运动超市，多点24小时店，社区西北侧是金隅花街有新发地菜篮子，社区北侧是760亩地的碧水公园，适合居住
                  ","
                    出行便利；1.座车：社区北侧有公交车花石匠站，有T107、通6路1站到八通线土桥城铁站，T115到6号线郝家府站，可以出门骑到土桥城铁站，开车出行：社区东侧是东六环，可以在土桥出口出入走京沈高速
                  ",,,,,,,,,,
1021,['临河里交通便利 配套齐全 花园社区'],278,43554,"['通州', '临河里']",1室1厅1厨1卫,低楼层 (共27层),63.83㎡,平层,48.22㎡,板塔结合,西南,钢混结构,精装,两梯九户,集中供暖,有,2023-12-10,商品房,2015-03-21,普通住宅,满五年,共有,"
                                有抵押 36万元 公积金 客户偿还
                              ",已上传房本照片,"
                    交通便利 配套齐全 花园社区  游乐场 网球场
                  ","
                    这是一个公园般的小区环境，小区内有星光泳池、健身房、网球场等设施帮助您锻炼出好身体！有游乐场供小朋友快乐玩耍；有人工湖和喷泉，早晨或者傍晚的时候在湖边散散步，心情也会变得舒畅！小区内还有银杏、法国梧桐等，很浪漫！
                  ","
                    小区下楼就是十字步行街，有肯德基、必胜客、德克士、京妮儿童汇、耀莱成龙影城、平安北京农业交通浦发银行，蔬菜水果店，健身房，各种美食等，东有碧水公园，西有梨园主题公园，满足您的生活所需。
                  ","
                    出行方便，您要开车南北门都有出口，坐地铁的话十字路口骑上小绿自行车，节能环保；公交车南门591、北门647、372、通7、通10、临8公交方便。
                  ","
                    本房适合年轻人居住，因为小区内有健身房、游泳馆，步行街内有饭店、妈妈驿站，生活便利！本房也适合老人住，因为小区公园般的环境，可以晨练、可以散步，修身养性，小区门口就是物美，挺方便的。
                  ",,,,,,,,,
1022,['通州北苑新华联锦园温馨三居南北通透不临街交通方便'],570,40837,"['通州', '通州北苑']",3室2厅1厨2卫,中楼层 (共6层),139.58㎡,平层,125.73㎡,板楼,西 南 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-30,商品房,2006-11-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年，户型规整，南北通透格局，小区中间楼栋，采光很好。
                  ","
                    小区建成于2003年，共31栋楼，1900户，绿化好，居住舒适；小区24小时安保巡逻，居住安全有保障；生活成本低，物业费0.86元，固定车位150元/月，市政集中供暖。
                  ","
                    生活配套完善，有通州万达购物广场，永辉超市，物美大卖场，永辉超市，顺兴农贸市场等，购物方便。
                  ","
                    小区东大门便是通州杨庄的公交车站，线路668路，924路，807路，通4路，专1线等，出行很方便。
                  ",,"
                    房子户型是小区在售的主力户型，南北通透，两间卧室和客厅均朝南，客厅和厨房均带大阳台，使用空间比较大。
                  ",,,"
                    房子是业主购入的一手房，装修很好，从未出租过，今年重新装修了卫生间，目前室内保持也很整洁，买来可以直接拎包入住。
                  ",,,,,
1023,['中泽雅园 正规一居室  满五年唯一商品房 近万盛西地铁'],239,39027,"['通州', '九棵树(家乐福)']",1室1厅1厨1卫,中楼层 (共6层),61.24㎡,平层,暂无数据,板楼,南,混合结构,精装,暂无数据,集中供暖,无,2023-12-09,商品房,2016-09-19,普通住宅,满五年,非共有,"
                                有抵押 110万元
                              ",已上传房本照片,"
                    板楼正规一居室 带落地窗阳台 无遮挡 全南向
                  ","
                    此房所在小区是2004年建成的，小区为6层板楼，公摊小，物业为中泽物业公司，24小时有门卫看守，小区内地上停车位，每月120元，市集中供暖，30元平米的收费标准
                  ","
                    通11和通12可到九棵树地铁，19路，36路、316可到果园和北苑地铁，552可到6号线北运河西，582可到地铁草房站，669直达国贸，早班车807直达大北窑；自驾车出行向南到京哈高速5.5公里（来源于百度地图），到新建的广渠路2.6公里（来源于百度地图）
                  ",,"
                    刚需首套购房，年轻人，喜欢阳光好，低密度，小面积户型方正的一居室
                  ","
                    房子时正规一居室户型，客厅朝南带落地窗阳台，卧室方正没有浪费面积，明厨明卫，房子中间楼层无遮挡，采光充足适宜居住；
                  ",,,,,,,,
1024,['K2玉兰湾精装修安静不临街人车分流此次新房'],529,57783,"['通州', '九棵树(家乐福)']",2室1厅1厨1卫,低楼层 (共27层),91.55㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯五户,集中供暖,有,2023-12-02,商品房,2017-10-31,普通住宅,满五年,非共有,"
                                有抵押 260万元 客户偿还
                              ",已上传房本照片,"
                    中间位置好，精装修，空调新风系统，安静不临街
                  ","
                    小区由12栋楼组成，错列式布置，园林式设计风格，人车分流，属于花园小区。楼体外立面是外挂石材，每个单元都有中式门厅和楼栋管家，小区内有童梦童享双语国际幼儿园，游泳健身房，24小时安保巡逻
                  ","
                    1、小区北侧是领展，一个综合性商场，购物，吃饭，娱乐一体，从-1层到5层，满足大部分的生活需求；2、小区北门往西走（高德地图393米）有家乐福；3、小区边上有北京银行、农商银行、交通银行等各大银行入驻；4、小区距离九棵树地铁站400米距
                  ","
                    1、有667路、938路、机场大巴通州线、通45路、通46路、通11路等多路公交车；2、小区北门口有共享单车停车地点；3、小区西边的太阳花酒店有直达首都机场和大兴机场的机场巴士，生活配套，交通出行方便
                  ","
                    适合各个年龄段的人群，小区人车分流，配套完善，年轻人尽情享受小区山水美景，老年人居住在小区就是逛公园
                  ",,,,"
                    精装修保持完好，居住时间少，品牌家具家电，精装修保持完好，居住时间少，品牌家具家电
                  ",,,,,
1025,['新华联家园北区 电梯三居两卫  卫生间有窗 满五 唯一'],575,43637,"['通州', '果园']",3室1厅1厨2卫,低楼层 (共11层),131.77㎡,平层,108.13㎡,板楼,东 北 南,钢混结构,简装,一梯两户,集中供暖,有,2023-11-29,商品房,2016-02-04,普通住宅,满五年,非共有,"
                                有抵押 243万元 银行 业主自还
                              ",已上传房本照片,"
                    房本满五年，业主在京唯一，房子南北通透，户型方正，电梯..
                  ","
                    新华联家园北区是2004年建成的商品社区。小区南门有物美，过十字路口东南角就是是苏荷时代奥特莱斯，小区北侧小东门出去是北机菜市场，南侧有东直门医院，九棵树有家乐福，太阳花酒店机场大巴，北侧有通州北苑万达广场，永辉等。配套齐全适合居住。
                  ","
                    从小区南门向西步行100米就有物美大卖场，南门东南角过人行道是苏荷时代奥特莱斯，小区北侧小东门出去是北机菜市场，南侧步行800米有东直门医院，果园地铁的下一站九棵树地铁站就有家乐福市，太阳花酒店机场大巴，北侧有通州北苑万达广场，永辉市等。
                  ","
                    小区东侧过人行道是果园地铁站，北侧从通州北苑可以驾车走京通快速路，小区门口通朝大街往西是广渠快速路，小区门口公交车有668.669.435.316公交车，小区门口有环保自行车。
                  ","
                    房子是三居室，适合自住改善的置换客户。业主也可以给置换客户换房周期。房子是电梯中高楼层，户型方正，视野好采光好。适合家里有老人小孩上下楼和出行购物方便。房子户型方正，适合不同人群居住。
                  ","
                    一梯两户 南北通透户型 前后楼无遮挡，视野采光很好 板楼 钢筋混凝土结构
                  ",,,,,,,,
1026,['融御一期 电梯高层 满两年 精装修'],446,61773,"['通州', '武夷花园']",2室1厅1厨1卫,中楼层 (共28层),72.2㎡,平层,51.6㎡,板塔结合,南 北,钢混结构,简装,两梯四户,集中供暖,有,2023-12-03,商品房,2021-09-01,普通住宅,满两年,非共有,"
                                有抵押 110万元 业主自还
                              ",已上传房本照片,"
                    金融街武夷融御，南北通透电梯两居，精装修，拎包入住。
                  ","
                    项目东侧约150米路县故城公园，此外还有减河公园，潞城公园，城市绿心，小区人车分流24小时安保。物业是北京武夷融御物业有限公司，两大国企控股，四级物业资质，物业费5.98元 /㎡/月
                  ","
                    医疗：首都医科大学附属北京友谊医院(通州院区)、安贞医院（宋庄、建设中）、首都儿研所（建设中），北面50米有北京华联购物商场，
                  ","
                    小区位于东六环西侧，西行通州新华大街上京通快速路即为长安街东延线，北行可驱车上通燕高速，京通快速路，南行可走运河东大街，运河西大街上广渠路，公交线路有342路.322路.808路.804路等多路公交车。
                  ",,,,,"
                    国际一线精装品牌，德系厨电系统，承袭德系的科学严谨作风，筑造高品位空间。厨电品牌为博世烟机灶具、冰箱、蒸烤一体机，洁具品牌为唯宝；花洒为汉斯格雅品牌。
                  ",,,,,
1027,['新光大中心南向两居 钥匙房源 高层看河景 精装落地窗'],368,32171,"['通州', '北关']",2室1厅1厨1卫,中楼层 (共41层),114.39㎡,平层,79.24㎡,塔楼,南,钢混结构,精装,七梯十八户,集中供暖,有,2023-11-30,商品房,2019-05-09,商务型公寓,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    视野开阔 ，高楼层落地窗 ，电梯房，交通便利，观河景
                  ",,"
                    小区五层之下是开发商自己招商，目前已经有星巴克，巴黎贝甜，美术馆，健身房，24小时便利店，麦当劳等；南侧就是通惠河，西海子公园，爱情海购物商场，还有万达广场， 八里桥市场，楼下就是公交车站。
                  ","
                    小区坐落于6号线北关地铁C口之上，新华大街，公交车有316路、342路等
                  ","
                    交通便利，购物方便，有通惠河及公园，房子有电梯出行便利，需要全款购买
                  ",,,,,,,,,
1028,['西马庄 两居室  南北通透  全明户型 楼层好 采光好'],275,31458,"['通州', '通州北苑']",2室2厅1厨1卫,中楼层 (共6层),87.42㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-12-06,已购公房,2021-03-01,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透，通风采光好，全明户型，楼层好，交通便利，配套齐全
                  ","
                    西马庄小区是一个成熟的老社区，以1995年到2001年的六层板楼为主，一共是56栋楼，其中1到20号楼是集体产权的，21号楼到56号楼是大产权的，本小区生活成本比较低，新换得卓达利泰物业费8毛，三合热力集中供暖每平24元，燃气入户，小区停车不收费。
                  ","
                    小区北侧是永顺城市公园，南侧是万达商圈，西侧有八里桥公园，东侧挨着八里桥批发市场和二六三医院，配套设施齐全，可以满足您日常生活的需要。
                  ","
                    小区北门有388，648，583，442等多路公交经过，小区内部有通51路新能源公交直达通州北苑地铁口。 地铁：距离八通线八里桥地铁站1300米（百度地图）距离6号线物资学院站2400米（百度地图） 高速：京通快速路，朝阳路，广渠路。
                  ",,,,,,,,,,
1029,['通瑞嘉苑西区 南北通透三居 户型方正 业主诚心出售'],363,40209,"['通州', '潞苑']",3室1厅1厨1卫,高楼层 (共28层),90.28㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,集中供暖,有,2023-12-06,自住型商品房,2018-12-03,普通住宅,满五年,非共有,"
                                有抵押 90万元 公积金
                              ",已上传房本照片,"
                    通瑞嘉苑西区 电梯房 三居室 户型方正 满五唯一
                  ","
                    通瑞嘉苑西区，小区是2016年建成，梯户比2:4，个别单元2:3，小区楼间距大，采光好，环境优美，车位充足，配套公立幼儿园。
                  ","
                    小区西门有三甲友谊医院，东侧1500米是正在建设安贞医院，南门西侧100米有生活购物，北门是健身房和游泳馆，北门东侧200米有多路公交车。
                  ","
                    小区四周都有公交线路，有多趟公交，专88，通勤（微）70,552路，675路,316路，824路，388路，专77路等。
                  ",,,,,,,,,,
1030,['京贸国际城+运河商务区+南北大两居+精装+满五年唯一'],529,48720,"['通州', '武夷花园']",2室1厅1厨1卫,顶层 (共35层),108.58㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯五户,集中供暖,有,2023-11-29,商品房,2015-12-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    运河商务区+全明户型+人车分流+满五年唯一。
                  ","
                    小区占地20.6万平米，小区北侧是减河，出小区西门就是运河文化广场，出东门往北1800米（百度地图）有友谊医院，新华联商场，三元村菜市场，绿化用地40%左右，有水系，物业费3.28元/平米，供暖24元/平米，人车分流地下租金450，买30万一个。
                  ","
                    小区往北是友谊医院和清华大学，往东市政府和人民大学及北京绿心公园，往南就是北京交通枢纽综合体，西侧就是运河及运河商区，月亮河美食一条街和电影院。
                  ",,,"
                    房子南北通透全明格局，开发商精装修，保持的不错，餐客一体的厅，两个朝北的窗户，主卧室带衣帽间
                  ",,,,,,,,
1031,['果园九棵树 电梯南向一居室 配套完善 交通便利'],235,41113,"['通州', '九棵树(家乐福)']",1室1厅1厨1卫,高楼层 (共15层),57.16㎡,平层,44.11㎡,板塔结合,南,钢混结构,精装,两梯十二户,集中供暖,有,2023-12-17,商品房,2015-12-10,普通住宅,满五年,非共有,"
                                有抵押 100万元 公积金 客户偿还
                              ",已上传房本照片,"
                    满五年唯一电梯南向正规一居室，采光好视野好，配套完善交通便利
                  ","
                    该小区是2005年建成，分为东区和西区，西区总共6栋楼，以六层小板楼和电梯小高板为主，社区闹中取静.小区物业费板楼0.9元平米月，电梯房1.5元平米月，供暖费30元平米供暖季，小区停车位都是地上固定停车位，每月150元
                  ",,"
                    小区北边是九棵树地铁站步行1000米（数据来源百度地图），东侧800米是盒马和领展广场，到果园地铁站1000米，小区北侧200米是翠屏北里菜市场，物美大卖场，生活方便。适合居住.西南500米就是东直门医院东区（三甲医院）。
                  ",,"
                    房子是南向的，客厅落地窗无遮挡，卧室朝南.厨房朝南带一个阳台。布局合理没有浪费的面积。适合各种人群居住
                  ",,,,,,,,
1032,['精装修大两居，高楼层，只有契税'],440,44463,"['通州', '临河里']",2室1厅1厨1卫,高楼层 (共25层),98.96㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,2023-12-10,商品房,2022-10-20,普通住宅,未满两年,非共有,"
                                有抵押 60万元 60
                              ",已上传房本照片,"
                    南北通透，视野好，业主诚心出售，看房提前预约
                  ","
                    这是一个公园般的小区环境，小区内有星光泳池、健身房、网球场等设施帮助您锻炼出好身体！有游乐场供小朋友快乐玩耍；有人工湖和喷泉，早晨或者傍晚的时候在湖边散散步，心情也会变得舒畅！小区内还有银杏、法国梧桐等，很浪漫！
                  ","
                    小区下楼就是十字步行街，有肯德基、必胜客、德克士、京妮儿童汇、耀莱成龙影城、平安北京农业交通浦发银行，蔬菜水果市场，健身房，各种美食等，东有碧水公园，西有梨园主题公园，满足您的生活所需。
                  ","
                    华业东方玫瑰作为通州高档社区，交通出行方便，小区距离八通线临河里站直线距离650米，在小区北侧多条公交车线路，587、435、807、通4路等
                  ",,,,,,,,,,
